"Date","Open","High","Low","Close","Volume","ticker","name"
"2004-08-19 00:00:00-04:00","2.483736420885526","2.5845756286121926","2.3833927177534813","2.492180585861206","893181924","GOOGL","Alphabet Inc. (GOOGL) Historical Data"
"2004-08-20 00:00:00-04:00","2.508822176838228","2.709259725371138","2.4961548630046986","2.690134286880493","456686856","GOOGL","Alphabet Inc. (GOOGL) Historical Data"
"2004-08-23 00:00:00-04:00","2.750738233475586","2.818543803647125","2.708514331099461","2.717207431793213","365122512","GOOGL","Alphabet Inc. (GOOGL) Historical Data"
"2004-08-24 00:00:00-04:00","2.7629082304989256","2.7718497936549373","2.5724056328047977","2.604693651199341","304946748","GOOGL","Alphabet Inc. (GOOGL) Historical Data"
"2004-08-25 00:00:00-04:00","2.6069296853443533","2.6824352159139915","2.580105470430996","2.632760524749756","183772044","GOOGL","Alphabet Inc. (GOOGL) Historical Data"
"2004-08-26 00:00:00-04:00","2.6066801371191635","2.681192281428831","2.5994775741491627","2.6801986694335938","141897960","GOOGL","Alphabet Inc. (GOOGL) Historical Data"
"2004-08-27 00:00:00-04:00","2.684918428494022","2.6978339665622775","2.6250608099331725","2.6364853382110596","124235640","GOOGL","Alphabet Inc. (GOOGL) Historical Data"
"2004-08-30 00:00:00-04:00","2.614877975060048","2.6200935520992212","2.5336596965789795","2.5336596965789795","103935960","GOOGL","Alphabet Inc. (GOOGL) Historical Data"
"2004-08-31 00:00:00-04:00","2.5408621079271403","2.5758825014133238","2.5373852934085552","2.5426008701324463","98357544","GOOGL","Alphabet Inc. (GOOGL) Historical Data"
"2004-09-01 00:00:00-04:00","2.5507968808201578","2.5575032303646767","2.4755395754995884","2.489945650100708","182765052","GOOGL","Alphabet Inc. (GOOGL) Historical Data"
"2004-09-02 00:00:00-04:00","2.463617360722561","2.5426004065296772","2.4574081729234023","2.521239995956421","302373324","GOOGL","Alphabet Inc. (GOOGL) Historical Data"
"2004-09-03 00:00:00-04:00","2.507331399830005","2.526953050986558","2.466846259800643","2.4839847087860107","103048848","GOOGL","Alphabet Inc. (GOOGL) Historical Data"
"2004-09-07 00:00:00-04:00","2.508822119189502","2.5334113596335484","2.4740499507085345","2.522979259490967","116950932","GOOGL","Alphabet Inc. (GOOGL) Historical Data"
"2004-09-08 00:00:00-04:00","2.502115703702228","2.5589929622658363","2.496154740407229","2.5408620834350586","99712188","GOOGL","Alphabet Inc. (GOOGL) Historical Data"
"2004-09-09 00:00:00-04:00","2.54657478745778","2.5510449774508652","2.5085740314798244","2.541110038757324","81234684","GOOGL","Alphabet Inc. (GOOGL) Historical Data"
